TotalProfitUSD,Probability
5760.0,3.432099384602922e-05
5780.0,3.359086419522829e-05
5800.0,3.285139174597923e-05
5820.0,3.20941962788827e-05
5840.0,3.142124054782939e-05
5860.0,3.073374421398063e-05
5880.0,3.0006572794002954e-05
5900.0,2.9360364968230412e-05
5920.0,2.8727962557100064e-05
5940.0,2.8054451498858773e-05
5960.0,2.744664092358146e-05
5980.0,2.684726076557221e-05
6000.0,2.6200951306375965e-05
6020.0,2.5623420247595588e-05
6040.0,2.5075386563224647e-05
6060.0,2.4477222293182938e-05
6080.0,2.392545746333694e-05
6100.0,2.3402787786841346e-05
6120.0,2.284351997751624e-05
6140.0,2.2329476340813794e-05
6160.0,2.184960824556356e-05
6180.0,2.1323550117997653e-05
6200.0,2.082510490666653e-05
6220.0,2.0374477777227973e-05
6240.0,1.989345313153371e-05
6260.0,1.9428220461409607e-05
6280.0,1.9003692565297707e-05
6300.0,1.8541936383825246e-05
6320.0,1.809660517283927e-05
6340.0,1.770811913157913e-05
6360.0,1.7287525840179934e-05
6380.0,1.6861821972690365e-05
6400.0,1.6485024572717463e-05
6420.0,1.608854388890098e-05
6440.0,1.569346071927192e-05
6460.0,1.534943450263752e-05
6480.0,1.4986331206939506e-05
6500.0,1.4604779154845238e-05
6520.0,1.4272574172379455e-05
6540.0,1.3940004010226543e-05
6560.0,1.3591585026710731e-05
6580.0,1.3282379114509506e-05
6600.0,1.2968582460140576e-05
6620.0,1.263421922018177e-05
6640.0,1.2340775373677655e-05
6660.0,1.2056751475063052e-05
6680.0,1.1751207740301113e-05
6700.0,1.1472620900351517e-05
6720.0,1.1203668428883776e-05
6740.0,1.0913508597934032e-05
6760.0,1.0653703552575647e-05
6780.0,1.0412364805785995e-05
6800.0,1.0143589262151461e-05
6820.0,9.893580585278038e-06
6840.0,9.6654252425626e-06
6860.0,9.415418647941694e-06
6880.0,9.185938344236614e-06
6900.0,8.97953307247678e-06
6920.0,8.74514820121098e-06
6940.0,8.522676752190578e-06
6960.0,8.32972660239448e-06
6980.0,8.119878670433393e-06
7000.0,7.914881599007417e-06
7020.0,7.733756678019393e-06
7040.0,7.536058096985845e-06
7060.0,7.341621939394366e-06
7080.0,7.1773956784404934e-06
7100.0,6.999778297248798e-06
7120.0,6.814902391739748e-06
7140.0,6.656615446928926e-06
7160.0,6.49121011685762e-06
7180.0,6.322352857298783e-06
7200.0,6.178605642818129e-06
7220.0,6.0249791824990455e-06
7240.0,5.860361032161206e-06
7260.0,5.7233042737823235e-06
7280.0,5.587259413599732e-06
7300.0,5.438526688618624e-06
7320.0,5.30884505601525e-06
7340.0,5.179313500052574e-06
7360.0,5.037001552248131e-06
7380.0,4.918184048613359e-06
7400.0,4.804154682442615e-06
7420.0,4.6743033223429275e-06
7440.0,4.558494235828901e-06
7460.0,4.449119439868625e-06
7480.0,4.328269114455922e-06
7500.0,4.222181063926833e-06
7520.0,4.123538836281731e-06
7540.0,4.0104255015909485e-06
7560.0,3.905888354016398e-06
7580.0,3.8121705631389085e-06
7600.0,3.708100015081057e-06
7620.0,3.6126245466242665e-06
7640.0,3.5279133641345193e-06
7660.0,3.4301128774470534e-06
7680.0,3.337002529975564e-06
7700.0,3.259102872246853e-06
7720.0,3.171527695166986e-06
7740.0,3.085899459571285e-06
7760.0,3.012193472049209e-06
7780.0,2.930113648005539e-06
7800.0,2.847713337399973e-06
7820.0,2.780662263053379e-06
7840.0,2.7083628260570403e-06
7860.0,2.6299615599133114e-06
7880.0,2.564256317859992e-06
7900.0,2.497273158323339e-06
7920.0,2.4263104946980328e-06
7940.0,2.367162928731772e-06
7960.0,2.304639611607782e-06
7980.0,2.2363040925855934e-06
8000.0,2.179837530462822e-06
8020.0,2.124511178293514e-06
8040.0,2.06361556913688e-06
8060.0,2.010308412477024e-06
8080.0,1.9576136213051617e-06
8100.0,1.9001640246228987e-06
8120.0,1.852063066016784e-06
8140.0,1.807153831189805e-06
8160.0,1.7535583175942774e-06
8180.0,1.7060246424013086e-06
8200.0,1.6641660490252548e-06
8220.0,1.6156184182584123e-06
8240.0,1.5726906860393302e-06
8260.0,1.5351824334559196e-06
8280.0,1.4892802724757592e-06
8300.0,1.4472413867462128e-06
8320.0,1.4132950869628427e-06
8340.0,1.3732195894334266e-06
8360.0,1.334996168561508e-06
8380.0,1.3028998377508644e-06
8400.0,1.2650337704548976e-06
8420.0,1.2281646792233262e-06
8440.0,1.1992184231226077e-06
8460.0,1.165963196683635e-06
8480.0,1.1322125827715003e-06
8500.0,1.1045569347562382e-06
8520.0,1.072688173545612e-06
8540.0,1.0410303330204517e-06
8560.0,1.0167891044066857e-06
8580.0,9.896526361706466e-07
8600.0,9.597970191861404e-07
8620.0,9.355078083453056e-07
8640.0,9.106747890466681e-07
8660.0,8.831994925606515e-07
8680.0,8.618570328724592e-07
8700.0,8.391637370477223e-07
8720.0,8.122460917889189e-07
8740.0,7.911708907474752e-07
8760.0,7.712525770015566e-07
8780.0,7.474427292597826e-07
8800.0,7.27500999206011e-07
8820.0,7.079930925641348e-07
8840.0,6.858819755607228e-07
8860.0,6.682104678924838e-07
8880.0,6.51487385290484e-07
8900.0,6.308036966651521e-07
8920.0,6.128950198387316e-07
8940.0,5.972219729083998e-07
8960.0,5.792079777334611e-07
8980.0,5.634415683574889e-07
9000.0,5.493930815823707e-07
9020.0,5.314301828204256e-07
9040.0,5.156508766194481e-07
9060.0,5.03467886078655e-07
9080.0,4.884192196867833e-07
9100.0,4.733424196584311e-07
9120.0,4.612926903267171e-07
9140.0,4.4707692029811754e-07
9160.0,4.327995853276462e-07
9180.0,4.221133593578656e-07
9200.0,4.101928116055176e-07
9220.0,3.9669651692197605e-07
9240.0,3.8627455332600046e-07
9260.0,3.750970771050217e-07
9280.0,3.629244133925409e-07
9300.0,3.5390014979477856e-07
9320.0,3.437859557269798e-07
9340.0,3.324033282293203e-07
9360.0,3.234173906788667e-07
9380.0,3.140977007025658e-07
9400.0,3.041199022059043e-07
9420.0,2.9626522390751997e-07
9440.0,2.87949522876109e-07
9460.0,2.7781144728111624e-07
